park_id,longitude,latitude,park_name,city,state,country
ALB01,,,Riverside Park,Albany,NY,US
ALT01,,,Columbia Park,Altoona,PA,US
ANA01,-117.8817426,33.8002599,Angel Stadium of Anaheim,Anaheim,CA,US
ARL01,-97.1806683,32.6859621,Arlington Stadium,Arlington,TX,US
ARL02,,,Rangers Ballpark in Arlington,Arlington,TX,US
ATL01,-84.389571,33.7395938,Atlanta-Fulton County Stadium,Atlanta,GA,US
ATL02,-84.3886513,33.7355267,Turner Field,Atlanta,GA,US
BAL01,,,Madison Avenue Grounds,Baltimore,MD,US
BAL02,-76.6294741,39.3133826,Newington Park,Baltimore,MD,US
BAL03,,,Oriole Park I,Baltimore,MD,US
BAL04,,,Belair Lot,Baltimore,MD,US
BAL05,-76.5281611,39.2739155,Monumental Park,Baltimore,MD,US
BAL06,,,Oriole Park II,Baltimore,MD,US
BAL07,,,Oriole Park III,Baltimore,MD,US
BAL09,,,Oriole Park IV,Baltimore,MD,US
BAL10,-76.9281358,39.0160685,Terrapin Park,Baltimore,MD,US
BAL11,-76.5829284,39.343907,Memorial Stadium,Baltimore,MD,US
BAL12,-76.6216056,39.2837383,Oriole Park at Camden Yards,Baltimore,MD,US
BOS01,,,South End Grounds I,Boston,MA,US
BOS02,,,Dartmouth Grounds,Boston,MA,US
BOS03,,,South End Grounds II,Boston,MA,US
BOS04,,,Congress Street Grounds,Boston,MA,US
BOS05,,,South End Grounds III,Boston,MA,US
BOS06,,,Huntington Avenue Baseball Grounds,Boston,MA,US
BOS07,-71.0970999,42.3464614,Fenway Park,Boston,MA,US
BOS08,-71.1203844,42.3524363,Braves Field,Boston,MA,US
BUF01,,,Riverside Grounds,Buffalo,NY,US
BUF02,,,Olympic Park I,Buffalo,NY,US
BUF03,,,Olympic Park II,Buffalo,NY,US
BUF04,,,International Fair Association Grounds,Buffalo,NY,US
CAN01,,,Mahaffey Park,Canton,OH,US
CAN02,,,Pastime Park,Canton,OH,US
CHI01,,,Lake Front Park I,Chicago,IL,US
CHI02,-87.7150411,41.8499479,23rd Street Park,Chicago,IL,US
CHI03,,,Lake Front Park II,Chicago,IL,US
CHI04,,,Lake Front Park III,Chicago,IL,US
CHI05,,,South Side Park I,Chicago,IL,US
CHI06,,,West Side Park,Chicago,IL,US
CHI07,,,South Side Park II,Chicago,IL,US
CHI08,-87.671582,41.8700666,West Side Grounds,Chicago,IL,US
CHI09,,,South Side Park III,Chicago,IL,US
CHI10,,,Comiskey Park I,Chicago,IL,US
CHI11,-87.655559,41.9481846,Wrigley Field,Chicago,IL,US
CHI12,-87.6337919,41.8296919,U.S. Cellular Field,Chicago,IL,US
CIN01,,,Lincoln Park Grounds,Cincinnati,OH,US
CIN02,,,Avenue Grounds,Cincinnati,OH,US
CIN03,-84.5266324,39.1195568,Bank Street Grounds,Cincinnati,OH,US
CIN04,,,League Park I,Cincinnati,OH,US
CIN05,,,League Park II,Cincinnati,OH,US
CIN06,,,Palace of the Fans,Cincinnati,OH,US
CIN07,-84.3622228,39.2772483,Crosley Field,Cincinnati,OH,US
CIN08,,,Cinergy Field,Cincinnati,OH,US
CIN09,,,Great American Ballpark,Cincinnati,OH,US
CLE01,,,National Association Grounds,Cleveland,OH,US
CLE02,,,League Park I,Cleveland,OH,US
CLE03,,,League Park II,Cleveland,OH,US
CLE04,,,Brotherhood Park,Cleveland,OH,US
CLE05,,,League Park III,Cleveland,OH,US
CLE06,,,League Park IV,Cleveland,OH,US
CLE07,-81.6997118,41.5060559,Cleveland Stadium,Cleveland,OH,US
CLE08,-81.6851319,41.4960906,Progressive Field,Cleveland,OH,US
CLE09,,,Cedar Avenue Driving Park,Cleveland,OH,US
CLL01,-81.5688849,41.5840376,Euclid Beach Park,Collinwood,OH,US
COL01,,,Recreation Park I,Columbus,OH,US
COL02,,,Recreation Park II,Columbus,OH,US
COL03,-83.0098844,39.9732169,Neil Park I,Columbus,OH,US
COL04,-83.0098844,39.9732169,Neil Park II,Columbus,OH,US
COV01,,,Star Baseball Park,Covington,KY,US
DAY01,-84.2291086,39.7881138,Fairview Park,Dayton,OH,US
DEN01,-105.0192228,39.743952,Mile High Stadium,Denver,CO,US
DEN02,-104.9929286,39.7560314,Coors Field,Denver,CO,US
DET01,,,Recreation Park,Detroit,MI,US
DET02,,,Bennett Park,Detroit,MI,US
DET03,-83.0125261,42.3868189,Burns Park,Detroit,MI,US
DET04,-83.0688678,42.3323684,Tiger Stadium,Detroit,MI,US
DET05,-83.0488632,42.3392219,Comerica Park,Detroit,MI,US
DOV01,,,Fairview Park Fair Grounds,Dover,DE,US
ELM01,,,Maple Avenue Driving Park,Elmira,NY,US
FOR01,,,Grand Duchess,Fort Wayne,IN,US
FOR02,-85.1642522,41.074679,Swinney Park,Fort Wayne,IN,US
FOR03,,,Jailhouse Flats,Fort Wayne,IN,US
GEA01,,,Geauga Lake Grounds,Geauga Lake,OH,US
GLO01,,,Gloucester Point Grounds,Gloucester City,NJ,US
GRA01,,,Ramona Park,Grand Rapids,MI,US
HAR01,-74.2863436,40.8504918,Harrison Field,Harrison,NJ,US
HON01,-157.9299117,21.3727872,Aloha Stadium,Honolulu,HI,US
HOU01,,,Colt Stadium,Houston,TX,US
HOU02,-95.4077433,29.6848703,Astrodome,Houston,TX,US
HOU03,-95.3552344,29.757232,Minute Maid Park,Houston,TX,US
HRT01,,,Hartford Ball Club Grounds,Hartford,CT,US
HRT02,,,Hartford Trotting Park,Hartford,CT,US
IND01,,,South Street Park,Indianapolis,IN,US
IND02,,,Seventh Street Park I,Indianapolis,IN,US
IND03,,,Bruce Grounds,Indianapolis,IN,US
IND04,,,Seventh Street Park II,Indianapolis,IN,US
IND05,,,Seventh Street Park III,Indianapolis,IN,US
IND06,-86.0040832,39.7521524,Indianapolis Park,Indianapolis,IN,US
IND07,,,Federal League Park,Indianapolis,IN,US
IRO01,-77.5974484,43.2536759,Windsor Beach,Irondequoit,NY,US
JER01,,,Oakland Park,Jersey City,NJ,US
JER02,-74.1025557,40.7111099,Roosevelt Stadium,Jersey City,NJ,US
KAN01,-94.5653176,38.9363272,Athletic Park,Kansas City,MO,US
KAN02,-94.5540601,39.0887215,Association Park,Kansas City,MO,US
KAN03,,,Exposition Park,Kansas City,MO,US
KAN04,,,Gordon and Koppel Field,Kansas City,MO,US
KAN05,,,Municipal Stadium,Kansas City,MO,US
KAN06,-94.4804598,39.0515081,Kauffman Stadium,Kansas City,MO,US
KEO01,,,Perry Park,Keokuk,IA,US
LAS01,-115.1298902,36.1797605,Cashman Field,Las Vegas,NV,US
LBV01,,,The Ballpark at Disney's Wide World,Lake Buena Vista,FL,US
LOS01,-118.2877996,34.0139159,Los Angeles Memorial Coliseum,Los Angeles,CA,US
LOS02,,,Wrigley Field,Los Angeles,CA,US
LOS03,-118.2398452,34.0736255,Dodger Stadium,Los Angeles,CA,US
LOU01,,,Louisville Baseball Park,Louisville,KY,US
LOU02,,,Eclipse Park I,Louisville,KY,US
LOU03,,,Eclipse Park II,Louisville,KY,US
LOU04,,,Eclipse Park III,Louisville,KY,US
LUD01,,,Ludlow Baseball Park,Ludlow,KY,US
MAS01,,,Long Island Grounds,Maspeth,NY,US
MIA01,-80.2388497,25.9579031,Sun Life Stadium,Miami,FL,US
MIA02,-80.219554,25.7780733,Marlins Park,Miami,FL,US
MID01,,,Mansfield Club Grounds,Middletown,CT,US
MIL01,,,Milwaukee Base-Ball Grounds,Milwaukee,WI,US
MIL02,,,Wright Street Grounds,Milwaukee,WI,US
MIL03,-87.9433191,43.0379219,Athletic Park,Milwaukee,WI,US
MIL04,,,Lloyd Street Grounds,Milwaukee,WI,US
MIL05,,,County Stadium,Milwaukee,WI,US
MIL06,-87.9712694,43.0280619,Miller Park,Milwaukee,WI,US
MIN01,-93.239732,45.0023668,Athletic Park,Minneapolis,MN,US
MIN02,,,Metropolitan Stadium,Bloomington,MN,US
MIN03,,,Hubert H. Humphrey Metrodome,Minneapolis,MN,US
MIN04,-93.2778643,44.9816845,Target Field,Minneapolis,MN,US
MNT01,-100.2817448,25.6537701,Estadio Monterrey,Monterrey,Nuevo Leon,MX
MON01,-73.6279348,45.5356151,Parc Jarry,Montreal,QC,CA
MON02,-73.5516458,45.5577983,Stade Olympique,Montreal,QC,CA
NEW01,,,Howard Avenue Grounds,New Haven,CT,US
NEW02,,,Hamilton Park,New Haven,CT,US
NEW03,,,Beyerle's Park,Newburgh Township,OH,US
NWK01,,,Wiedenmeyer's Park,Newark,NJ,US
NYC01,-73.9933572,40.6826568,Union Grounds,Brooklyn,NY,US
NYC02,,,Capitoline Grounds,Brooklyn,NY,US
NYC03,,,Polo Grounds I (Southeast Diamond),New York,NY,US
NYC04,,,Polo Grounds II (Southwest Diamond),New York,NY,US
NYC05,-73.97349,40.6914522,Washington Park I,Brooklyn,NY,US
NYC06,-73.8598868,40.838312,Metropolitan Park,New York,NY,US
NYC07,,,Grauer's Ridgewood Park,Queens,NY,US
NYC08,-73.97349,40.6914522,Washington Park II,Brooklyn,NY,US
NYC09,,,Polo Grounds III,New York,NY,US
NYC10,-73.9379049,40.831194,Polo Grounds IV,New York,NY,US
NYC11,-73.9855541,40.6706393,Eastern Park,Brooklyn,NY,US
NYC12,,,Washington Park III,Brooklyn,NY,US
NYC13,-75.07944,43.0354631,Hilltop Park,New York,NY,US
NYC14,-73.9379049,40.831194,Polo Grounds V,New York,NY,US
NYC15,-73.9581254,40.6649428,Ebbets Field,Brooklyn,NY,US
NYC16,,,Yankee Stadium I,New York,NY,US
NYC17,-73.9635791,41.3987968,Shea Stadium,New York,NY,US
NYC18,,,Wallace's Ridgewood Park,Queens,NY,US
NYC19,-73.97349,40.6914522,Washington Park IV,Brooklyn,NY,US
NYC20,-73.8458788,40.7572778,Citi Field,New York,NY,US
NYC21,,,Yankee Stadium II,New York,NY,US
OAK01,-122.2004749,37.7516333,Oakland-Alameda County Coliseum,Oakland,CA,US
PEN01,,,East End Park,Cincinnati,OH,US
PHI01,,,Jefferson Street Grounds,Philadelphia,PA,US
PHI02,,,Centennial Park,Philadelphia,PA,US
PHI03,,,Oakdale Park,Philadelphia,PA,US
PHI04,-75.1634991,40.0537653,Recreation Park,Philadelphia,PA,US
PHI05,,,Keystone Park,Philadelphia,PA,US
PHI06,,,Huntingdon Grounds I,Philadelphia,PA,US
PHI07,,,Forepaugh Park,Philadelphia,PA,US
PHI08,,,University of Penn. Athletic Field,Philadelphia,PA,US
PHI09,,,Baker Bowl,Philadelphia,PA,US
PHI10,,,Columbia Park,Philadelphia,PA,US
PHI11,-75.1648355,39.9961163,Shibe Park,Philadelphia,PA,US
PHI12,,,Veterans Stadium,Philadelphia,PA,US
PHI13,-75.1664804,39.9059221,Citizens Bank Park,Philadelphia,PA,US
PHI14,,,Huntingdon Grounds II,Philadelphia,PA,US
PHO01,-112.0666928,33.4454856,Chase Field,Phoenix,AZ,US
PIT01,,,Union Park,Pittsburgh,PA,US
PIT02,,,Exposition Park I,Pittsburgh,PA,US
PIT03,,,Exposition Park II,Pittsburgh,PA,US
PIT04,-79.8916309,40.4655529,Recreation Park,Pittsburgh,PA,US
PIT05,,,Exposition Park III,Pittsburgh,PA,US
PIT06,-79.9526917,40.4412213,Forbes Field,Pittsburgh,PA,US
PIT07,,,Three Rivers Stadium,Pittsburgh,PA,US
PIT08,-80.0056063,40.4469258,PNC Park,Pittsburgh,PA,US
PRO01,,,Adelaide Avenue Grounds,Providence,RI,US
PRO02,,,Messer Street Grounds,Providence,RI,US
RCK01,,,Agricultural Society Fair Grounds,Rockford,IL,US
RIC01,,,Richmond Fair Grounds,Richmond,VA,US
RIC02,,,Allens Pasture,Richmond,VA,US
ROC01,,,Culver Field I,Rochester,NY,US
ROC02,,,Culver Field II,Rochester,NY,US
ROC03,,,Ontario Beach Grounds,Rochester,NY,US
SAI01,,,St. George Cricket Grounds,New York,NY,US
SAN01,-117.0844477,32.7819432,Qualcomm Stadium,San Diego,CA,US
SAN02,-117.1568773,32.7071882,PETCO Park,San Diego,CA,US
SEA01,-122.2979308,47.5784609,Sick's Stadium,Seattle,WA,US
SEA02,-122.3313156,47.5985216,Kingdome,Seattle,WA,US
SEA03,-122.332507,47.5913974,Safeco Field,Seattle,WA,US
SFO01,,,Seals Stadium,San Francisco,CA,US
SFO02,-122.3804216,37.7171914,Candlestick Park,San Francisco,CA,US
SFO03,14.12456,47.59397,AT&T Park,San Francisco,CA,US
SJU01,-66.0735019,18.4168373,Estadio Hiram Bithorn,San Juan,,PR
SPR01,,,Hampden Park Race Track,Springfield,MA,US
STL01,,,Red Stockings Base Ball Park,St. Louis,MO,US
STL02,-90.408903,38.5687337,Grand Avenue Park,St. Louis,MO,US
STL03,,,Sportsman's Park I,St. Louis,MO,US
STL04,,,Union Grounds,St. Louis,MO,US
STL05,,,Robison Field,St. Louis,MO,US
STL06,,,Sportsman's Park II,St. Louis,MO,US
STL07,,,Sportsman's Park III,St. Louis,MO,US
STL08,,,Handlan's Park,St. Louis,MO,US
STL09,,,Busch Stadium II,St. Louis,MO,US
STL10,,,Busch Stadium III,St. Louis,MO,US
STP01,-82.6532755,27.7680559,Tropicana Field,St. Petersburg,FL,US
SYD01,151.2247484,-33.8914241,Sydney Cricket Ground,Sydney,New South Wales,AU
SYR01,,,Star Park I,Syracuse,NY,US
SYR02,,,Star Park II,Syracuse,NY,US
SYR03,-76.1679704,43.0605235,Iron Pier,Syracuse,NY,US
THR01,,,Three Rivers Park,Three Rivers,NY,US
TOK01,139.7519705,35.7055705,Tokyo Dome,Tokyo,Tokyo,JP
TOL01,,,League Park,Toledo,OH,US
TOL02,,,Tri-State Fair Grounds,Toledo,OH,US
TOL03,,,Speranza Park,Toledo,OH,US
TOL04,,,Armory Park,Toledo,OH,US
TOR01,,,Exhibition Stadium,Toronto,ON,CA
TOR02,-79.3891976,43.6416598,Rogers Centre,Toronto,ON,CA
TRO01,,,Haymakers' Grounds,Troy,NY,US
TRO02,,,Putnam Grounds,Troy,NY,US
WAR01,-71.3662754,41.6903928,Rocky Point Park,Warwick,RI,US
WAS01,,,Olympic Grounds,Washington,DC,US
WAS02,,,National Grounds,Washington,DC,US
WAS03,-77.0387446,38.9030084,Capitol Grounds,Washington,DC,US
WAS04,,,Athletic Park,Washington,DC,US
WAS05,,,Swampoodle Grounds,Washington,DC,US
WAS06,,,Boundary Field,Washington,DC,US
WAS07,,,American League Park I,Washington,DC,US
WAS08,,,American League Park II,Washington,DC,US
WAS09,,,Griffith Stadium,Washington,DC,US
WAS10,-76.9718831,38.8897681,Robert F. Kennedy Stadium,Washington,DC,US
WAS11,-77.0074815,38.8727332,Nationals Park,Washington,DC,US
WAT01,,,Troy Ball Club Grounds,Watervliet,NY,US
WAV01,,,Waverly Fairgrounds,Waverly,NJ,US
WEE01,,,Monitor Grounds,Weehawken,NJ,US
WHE01,,,Island Grounds,Wheeling,WV,US
WIL01,-75.5704207,39.7530397,Union Street Park,Wilmington,DE,US
WNY01,,,West New York Field Club Grounds,West New York,NJ,US
WOR01,,,Agricultural County Fair Grounds I,Worcester,MA,US
WOR02,,,Agricultural County Fair Grounds II,Worcester,MA,US
WOR03,,,Worcester Driving Park Grounds,Worcester,MA,US